"Date","Open","High","Low","Close"
"2021-03-24",13050.25,13145.25,12784,12797
"2021-03-23",13069,13172,12979,13031.25
"2021-03-22",12807,13157,12788.5,13062
"2021-03-19",12793.5,12898.25,12681.75,12826
"2021-03-18",13187,13267,12762,12790
"2021-03-17",13159.5,13271,12934.25,13170.75
"2021-03-16",13073,13287.25,13048.25,13154
"2021-03-15",12933.5,13089.25,12862.5,13073
"2021-03-12",13055,13095,12768.25,12936.25
"2021-03-11",12795.25,13119.25,12724.25,13044
"2021-03-10",12812,12993.25,12703,12788.25
"2021-03-09",12345.75,12867.5,12326,12788
"2021-03-08",12715,12761.25,12281.75,12333.5
"2021-03-05",12435,12697.75,12207.25,12652.75
"2021-03-04",12682,12797,12306.5,12432
"2021-03-03",13061.25,13192,12663.25,12677.5
"2021-03-02",13312.25,13328.25,13048.25,13054.75
"2021-03-01",12957.5,13318,12946.25,13313.25
"2021-02-26",12802.5,13089.5,12662.25,12906
"2021-02-25",13304.75,13353.75,12764,12788
